state,vapor_cloud_formation,combustible,confinement,mechanical_failure,release,overflow,vaporization,temperature,pressure,ignition,pre_mixture,toxicity_of_sub,dispersion,label
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,low,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,high,high,delayed,true,false,true,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,low,delayed,true,false,false,VCE_vapor_instant
vapor,true,true,high,true,instant,false,none,low,high,delayed,true,false,true,VCE_vapor_instant
